Date,City,City_Code,Capture_Timestamp,Capture_Label,Captured_At,Latitude,Longitude,Day_of_Week,Is_Weekend,Temperature_Max_C,Temperature_Min_C,Temperature_Mean_C,Apparent_Temperature_Max_C,Apparent_Temperature_Min_C,Precipitation_Sum_MM,Rain_Sum_MM,Precipitation_Hours,Wind_Speed_Max_KMH,Wind_Gusts_Max_KMH,Wind_Direction_Dominant_Deg,Weather_Code,Weather_Source,Holiday_Names,Holiday_Types,Holiday_Regions,Holiday_Sources,Is_Holiday,Slot_Temperature_C,Slot_Humidity_Percent,Slot_Precipitation_Probability_Percent,Slot_Wind_Speed_KMH,Slot_Weather_Code,Slot_Condition_Text,Capture_Source
2026-06-01,Mumbai,BOM,2026-06-01T09:00:00+05:30,morning,,19.076,72.8777,Monday,false,34.1,29.7,31.7,40.7,35.5,0.3,0.3,3.0,15.0,41.0,260,51,open-meteo-historical-forecast,,,,,false,32.6,60,19,9.4,1,mainly_clear,open-meteo-historical-hourly-backfill
2026-06-01,Mumbai,BOM,2026-06-01T17:00:00+05:30,late_afternoon,,19.076,72.8777,Monday,false,34.1,29.7,31.7,40.7,35.5,0.3,0.3,3.0,15.0,41.0,260,51,open-meteo-historical-forecast,,,,,false,32.9,56,10,14.1,0,clear,open-meteo-historical-hourly-backfill
2026-06-01,Delhi,DEL,2026-06-01T09:00:00+05:30,morning,,28.7041,77.1025,Monday,false,33.7,24.4,29.3,35.2,27.9,1.4,0.7,3.0,15.2,40.3,94,53,open-meteo-historical-forecast,,,,,false,28.3,60,19,7.7,0,clear,open-meteo-historical-hourly-backfill
2026-06-01,Delhi,DEL,2026-06-01T17:00:00+05:30,late_afternoon,,28.7041,77.1025,Monday,false,33.7,24.4,29.3,35.2,27.9,1.4,0.7,3.0,15.2,40.3,94,53,open-meteo-historical-forecast,,,,,false,33.6,35,4,10.1,1,mainly_clear,open-meteo-historical-hourly-backfill
2026-06-01,Bengaluru,BLR,2026-06-01T09:00:00+05:30,morning,,12.9716,77.5946,Monday,false,29.4,20.8,25.4,32.8,23.3,0.5,0.2,2.0,10.8,29.5,287,51,open-meteo-historical-forecast,,,,,false,26.4,67,0,10.3,0,clear,open-meteo-historical-hourly-backfill
2026-06-01,Bengaluru,BLR,2026-06-01T17:00:00+05:30,late_afternoon,,12.9716,77.5946,Monday,false,29.4,20.8,25.4,32.8,23.3,0.5,0.2,2.0,10.8,29.5,287,51,open-meteo-historical-forecast,,,,,false,29.4,43,4,3.1,2,partly_cloudy,open-meteo-historical-hourly-backfill
2026-06-01,Hyderabad,HYD,2026-06-01T09:00:00+05:30,morning,,17.385,78.4867,Monday,false,35.8,27.4,32.1,37.1,28.4,0.0,0.0,0.0,10.6,28.4,299,1,open-meteo-historical-forecast,,,,,false,33.1,34,1,9.2,0,clear,open-meteo-historical-hourly-backfill
2026-06-01,Hyderabad,HYD,2026-06-01T17:00:00+05:30,late_afternoon,,17.385,78.4867,Monday,false,35.8,27.4,32.1,37.1,28.4,0.0,0.0,0.0,10.6,28.4,299,1,open-meteo-historical-forecast,,,,,false,35.1,31,22,6.7,0,clear,open-meteo-historical-hourly-backfill
2026-06-01,Chennai,MAA,2026-06-01T09:00:00+05:30,morning,,13.0827,80.2707,Monday,false,38.9,29.4,32.5,43.5,33.6,1.0,0.9,5.0,17.1,46.4,196,51,open-meteo-historical-forecast,,,,,false,35.5,42,0,12.7,1,mainly_clear,open-meteo-historical-hourly-backfill
2026-06-01,Chennai,MAA,2026-06-01T17:00:00+05:30,late_afternoon,,13.0827,80.2707,Monday,false,38.9,29.4,32.5,43.5,33.6,1.0,0.9,5.0,17.1,46.4,196,51,open-meteo-historical-forecast,,,,,false,33.0,60,29,8.0,1,mainly_clear,open-meteo-historical-hourly-backfill
2026-06-01,Kolkata,CCU,2026-06-01T09:00:00+05:30,morning,,22.5726,88.3639,Monday,false,35.5,28.3,31.6,42.8,35.6,2.8,1.2,5.0,12.8,33.8,172,80,open-meteo-historical-forecast,,,,,false,33.3,68,8,2.4,0,clear,open-meteo-historical-hourly-backfill
2026-06-01,Kolkata,CCU,2026-06-01T17:00:00+05:30,late_afternoon,,22.5726,88.3639,Monday,false,35.5,28.3,31.6,42.8,35.6,2.8,1.2,5.0,12.8,33.8,172,80,open-meteo-historical-forecast,,,,,false,32.4,63,55,9.1,0,clear,open-meteo-historical-hourly-backfill
2026-06-01,Pune,PNQ,2026-06-01T09:00:00+05:30,morning,,18.5204,73.8567,Monday,false,36.6,24.0,29.3,39.0,28.1,1.4,0.5,2.0,17.8,42.1,268,80,open-meteo-historical-forecast,,,,,false,30.3,56,0,7.9,0,clear,open-meteo-historical-hourly-backfill
2026-06-01,Pune,PNQ,2026-06-01T17:00:00+05:30,late_afternoon,,18.5204,73.8567,Monday,false,36.6,24.0,29.3,39.0,28.1,1.4,0.5,2.0,17.8,42.1,268,80,open-meteo-historical-forecast,,,,,false,32.9,41,65,16.7,80,slight_rain_showers,open-meteo-historical-hourly-backfill
2026-06-01,Ahmedabad,AMD,2026-06-01T09:00:00+05:30,morning,,23.0225,72.5714,Monday,false,39.9,26.4,33.6,43.6,29.9,6.5,0.9,2.0,15.3,43.9,227,81,open-meteo-historical-forecast,,,,,false,33.4,56,1,5.4,0,clear,open-meteo-historical-hourly-backfill
2026-06-01,Ahmedabad,AMD,2026-06-01T17:00:00+05:30,late_afternoon,,23.0225,72.5714,Monday,false,39.9,26.4,33.6,43.6,29.9,6.5,0.9,2.0,15.3,43.9,227,81,open-meteo-historical-forecast,,,,,false,39.9,29,16,13.7,0,clear,open-meteo-historical-hourly-backfill
2026-06-01,Surat,STV,2026-06-01T09:00:00+05:30,morning,,21.1702,72.8311,Monday,false,35.3,29.1,31.8,41.3,34.8,0.5,0.0,4.0,19.8,46.1,233,51,open-meteo-historical-forecast,,,,,false,32.9,63,22,12.1,51,light_drizzle,open-meteo-historical-hourly-backfill
2026-06-01,Surat,STV,2026-06-01T17:00:00+05:30,late_afternoon,,21.1702,72.8311,Monday,false,35.3,29.1,31.8,41.3,34.8,0.5,0.0,4.0,19.8,46.1,233,51,open-meteo-historical-forecast,,,,,false,33.2,59,0,19.8,0,clear,open-meteo-historical-hourly-backfill
